# Surviving-edge dataset: week 1's 1762 live links, dated by first appearance and treated as permanent.
# birth_year = max(first_seen_year, first_frame[source], first_frame[target]).
source	target	birth_year
Phoenix_Force	Jean_Grey	2003
Phoenix_Force	Rachel_Summers	2003
Eddie_Brock	Spider-Man	2004
Quicksilver_(Marvel_Comics)	Scarlet_Witch	2004
Rachel_Summers	Jean_Grey	2004
Scarlet_Witch	Quicksilver_(Marvel_Comics)	2004
Wolverine_(character)	Hulk	2004
Wolverine_(character)	Jean_Grey	2004
Abomination_(character)	Hulk	2005
Adam_Warlock	She-Hulk	2005
Anya_Corazon	Spider-Man	2005
Betsy_Braddock	Doctor_Strange	2005
Betsy_Braddock	Jean_Grey	2005
Black_Cat_(Marvel_Comics)	Doctor_Strange	2005
Black_Cat_(Marvel_Comics)	Spider-Man	2005
Black_Knight_(Marvel_Comics)	Doctor_Strange	2005
Cable_(character)	Deadpool	2005
Cable_(character)	Jean_Grey	2005
Cable_(character)	Rachel_Summers	2005
Captain_Universe	Doctor_Strange	2005
Captain_Universe	Spider-Man	2005
Cyclops_(Marvel_Comics)	Cable_(character)	2005
Cyclops_(Marvel_Comics)	Jean_Grey	2005
Deadpool	Cable_(character)	2005
Deathlok	Spider-Man	2005
Doctor_Druid	Doctor_Strange	2005
Doctor_Druid	Hulk	2005
Emma_Frost	Jean_Grey	2005
Hulk	Abomination_(character)	2005
Hulk	She-Hulk	2005
Human_Torch	Human_Torch_(android)	2005
Human_Torch_(android)	Human_Torch	2005
Human_Torch_(android)	Scarlet_Witch	2005
Iron_Fist_(character)	Luke_Cage	2005
Jean_Grey	Rachel_Summers	2005
Leech_(character)	Emma_Frost	2005
Mayday_Parker	Spider-Man	2005
Northstar_(character)	Jean_Grey	2005
Patsy_Walker	Doctor_Strange	2005
Patsy_Walker	Moondragon	2005
Rachel_Summers	Cable_(character)	2005
Scarlet_Witch	Doctor_Strange	2005
She-Hulk	Hulk	2005
Spider-Woman	Spider-Man	2005
Xorn	Emma_Frost	2005
Xorn	Jean_Grey	2005
Adam_Warlock	Kismet_(Marvel_Comics)	2006
Agent_X_(Marvel_Comics)	Cable_(character)	2006
Alex_Wilder	Chase_Stein	2006
Anne_Weying	Spider-Man	2006
Arabian_Knight_(character)	Hulk	2006
Beta_Ray_Bill	Spider-Man	2006
Betsy_Braddock	Jubilee_(character)	2006
Bill_Foster_(character)	Hank_Pym	2006
Bill_Foster_(character)	Luke_Cage	2006
Black_Bolt	Karnak_(character)	2006
Black_Cat_(Marvel_Comics)	Scarlet_Spider	2006
Blade_(character)	Doctor_Strange	2006
Blade_(character)	Morbius	2006
Blade_(character)	Spider-Man	2006
Blazing_Skull	Union_Jack_(Marvel_Comics)	2006
Bucky_(Marvel_Comics)	Nomad_(Marvel_Comics)	2006
Captain_Marvel_(Marvel_Comics)	Genis-Vell	2006
Captain_Marvel_(Marvel_Comics)	Moondragon	2006
Captain_Universe	Gladiator_(Kallark)	2006
Captain_Universe	Hulk	2006
Cloak_and_Dagger_(characters)	Spider-Man	2006
Cyclops_(Marvel_Comics)	Emma_Frost	2006
Cyclops_(Marvel_Comics)	Rachel_Summers	2006
Darkhawk	Turbo_(comics)	2006
Deadpool	Spider-Man	2006
Devil_Dinosaur	Spider-Man	2006
Doctor_Spectrum	Hyperion_(character)	2006
Doctor_Strange	Captain_Universe	2006
Doctor_Strange	Scarlet_Witch	2006
Eddie_Brock	Scarlet_Spider	2006
Emma_Frost	Cyclops_(Marvel_Comics)	2006
Emma_Frost	Rachel_Summers	2006
Ethan_Edwards	Spider-Man	2006
Flatman_(character)	Living_Lightning	2006
Franklin_Richards_(character)	Human_Torch	2006
Franklin_Richards_(character)	Rachel_Summers	2006
Garrison_Kane	Cable_(character)	2006
Genis-Vell	Captain_Marvel_(Marvel_Comics)	2006
Ghost_Rider	Hulk	2006
Ghost_Rider	Spider-Man	2006
Gladiator_(Kallark)	Captain_Universe	2006
Gladiator_(Kallark)	Spider-Man	2006
Gorgon_(Inhuman)	Black_Bolt	2006
Hank_Pym	Bill_Foster_(character)	2006
Hellion_(character)	Emma_Frost	2006
Hulk	Spider-Man	2006
Hulkling	Hulk	2006
Human_Torch	Spider-Man	2006
Human_Torch_(android)	Citizen_V	2006
Human_Torch_(android)	Spitfire_(character)	2006
Human_Torch_(android)	Toro_(character)	2006
Human_Torch_(android)	Union_Jack_(Marvel_Comics)	2006
