# Per-node trajectory metrics derived from rank_history.tsv.
# frames_in_top10 is the most legible 'was it a hub' measure the data supports; final_rank_in alone cannot see a lost crown.
node_id	arrival_rank	created_utc	first_frame	n_frames	final_k_in	final_k_out	final_rank_in	best_rank_ever	best_pct_rank	frames_in_top10	rank_volatility	peak_frame	bytes	pageviews_2y	debut_year	flags
Abomination_(character)	52	2004-07-22T21:20:54Z	2005	22	8	9	72	14	0.1912	0	0.3482	2005	46697	290159	1967	
Adam_Warlock	27	2004-02-09T19:38:07Z	2005	22	11	21	53	19	0.1245	0	0.1402	2005	81978	684980	1967	
Agent_X_(Marvel_Comics)	22	2003-12-19T05:42:44Z	2004	23	4	3	121	8	0.2647	1	0.3563	2004	15106	32741	2002	
Ajak	184	2006-06-14T14:30:38Z	2007	20	3	4	147	102	0.4418	0	0.1156	2007	10055	61135	1976	
Alex_Wilder	134	2005-11-18T05:13:53Z	2006	21	1	1	213	42	0.295	0	0.4779	2006	9030	64673	2003	
Anne_Weying	122	2005-09-17T19:18:32Z	2006	21	3	4	147	72	0.461	0	0.3267	2006	9748	137406	1993	
Anole_(character)	132	2005-11-07T01:57:50Z	2006	21	6	8	96	61	0.2214	0	0.2894	2010	39827	25554	2003	
Anya_Corazon	67	2004-11-14T07:50:31Z	2005	22	13	17	45	19	0.0746	0	0.4362	2005	35737	537560	2004	
Arabian_Knight_(character)	114	2005-08-20T15:56:53Z	2006	21	5	8	104	54	0.2199	0	0.2909	2008	9113	16246	1981	
Ares_(Marvel_Comics)	159	2006-03-30T05:14:37Z	2007	20	7	7	81	71	0.2326	0	0.4935	2023	32300	73179	1966	
Backhand_(character)	260	2010-02-11T19:25:38Z	2011	16	2	1	177	136	0.5037	0	0.0843	2011	4776	961	1987	
Balder_the_Brave	53	2004-07-22T21:50:28Z	2005	22	3	2	147	19	0.2563	0	0.3647	2005	20779	52145	1962	
Battlestar_(character)	145	2006-01-23T17:34:40Z	2007	20	4	4	121	54	0.2199	0	0.294	2008	15682	46015	1986	
Baymax	242	2007-12-21T04:33:11Z	2008	19	0	0	253	176	0.7261	0	0.1116	2008	24058	154251	1998	
Beta_Ray_Bill	63	2004-11-08T15:11:50Z	2005	22	3	5	147	19	0.2647	0	0.38	2005	38496	264668	1983	
Betsy_Braddock	35	2004-05-09T16:30:21Z	2005	22	9	30	59	19	0.1694	0	0.5286	2005	127278	499224	1976	
Bill_Foster_(character)	118	2005-09-10T13:57:32Z	2006	21	9	14	59	20	0.0788	0	0.2162	2008	22493	89455	1966	
Bird-Brain_(Marvel_Comics)	214	2006-11-06T04:27:17Z	2007	20	0	0	253	137	0.621	0	0.2167	2007	6831	8108	1987	
Black_Bolt	78	2005-03-03T06:27:16Z	2006	21	15	10	36	22	0.0784	0	0.0799	2011	60748	402679	1965	
Black_Cat_(Marvel_Comics)	36	2004-05-18T16:13:02Z	2005	22	27	21	11	11	0.0331	0	0.7546	2026	120009	534917	1979	
Black_Fox_(Robert_Paine)	294	2018-03-26T19:24:23Z	2019	8	0	0	253	237	0.8	0	0.0377	2019	2930	3303	2000	move_or_merge_comment
Black_Jack_Tarr	219	2006-12-06T03:54:22Z	2007	20	1	1	213	102	0.4612	0	0.2631	2007	4610	7299	1974	
Black_Knight_(Marvel_Comics)	37	2004-05-22T23:03:03Z	2005	22	5	8	104	14	0.1912	0	0.1499	2005	28455	72831	1955	
Black_Marvel	202	2006-08-26T22:27:21Z	2007	20	5	2	104	40	0.1781	0	0.2292	2007	10721	30594	1941	
Black_Panther_(character)	62	2004-10-19T18:48:53Z	2005	22	34	11	8	4	0.0124	21	0.2523	2008	97313	635024	1966	
Black_Rider_(character)	191	2006-06-23T18:14:42Z	2007	20	1	4	213	137	0.509	0	0.2746	2007	10625	6300	1948	
Black_Widow_(Natasha_Romanova)	41	2004-06-08T14:37:55Z	2005	22	24	7	17	11	0.0336	0	0.7094	2021	71455	536145	1964	
Blackthorn_(character)	253	2010-02-06T22:04:15Z	2011	16	2	1	177	136	0.5037	0	0.0843	2011	9209	2777	1986	
Blackwulf	270	2011-02-11T18:27:41Z	2012	15	0	2	253	213	0.7674	0	0.0703	2012	8801	3771	1994	
Blade_(character)	29	2004-03-04T20:57:07Z	2005	22	18	15	28	19	0.0894	0	0.1753	2005	72699	789409	1973	
Blazing_Skull	133	2005-11-09T22:47:20Z	2006	21	3	8	147	42	0.2283	0	0.2551	2006	8826	27760	1941	
Blue_Bullet	231	2007-07-20T19:29:09Z	2008	19	2	2	177	105	0.3881	0	0.2063	2011	3151	2301	1976	
Blue_Diamond_(character)	203	2006-08-27T01:10:04Z	2007	20	1	9	213	137	0.621	0	0.1966	2007	8476	10889	1941	
Blue_Eagle_(character)	94	2005-05-23T00:18:26Z	2006	21	0	4	253	72	0.5108	0	0.3269	2006	5792	4280	1971	
Blue_Marvel	264	2010-02-19T20:25:28Z	2011	16	1	6	213	124	0.4073	0	0.2947	2025	25345	235114	2008	
Bob,_Agent_of_Hydra	233	2007-07-25T20:29:48Z	2008	19	3	7	147	89	0.3651	0	0.2229	2008	10591	111320	2007	
Box_(comics)	173	2006-05-23T09:35:43Z	2007	20	1	2	213	102	0.4612	0	0.3765	2007	8705	13366	1983	
Brain_Drain_(character)	232	2007-07-22T04:25:58Z	2008	19	0	0	253	176	0.7261	0	0.1116	2008	6505	7540	1975	
Breeze_Barton	280	2013-09-05T09:49:25Z	2014	13	0	0	253	216	0.7674	0	0.0703	2014	7975	4033	1940	
Brian_Braddock	302	2022-07-19T17:47:35Z	2023	4	1	16	213	213	0.702	0	0.0223	2026	73211	107066	1976	
Bucky_(Marvel_Comics)	74	2005-02-21T19:32:12Z	2006	21	9	9	59	42	0.1593	0	0.6243	2006	25014	35564	1941	
Bug_(Marvel_Comics)	247	2008-07-06T03:57:51Z	2009	18	1	4	213	186	0.702	0	0.1357	2009	8561	553	1979	move_or_merge_comment;first_rev_redirect
Cable_(character)	33	2004-04-14T22:29:53Z	2005	22	21	13	22	5	0.0274	8	0.0457	2005	44077	1230411	1986	
Cammi_(character)	279	2013-03-13T18:15:19Z	2014	13	2	4	177	177	0.5828	0	0.2549	2026	5705	6528	2005	move_or_merge_comment;first_rev_redirect
Captain_Marvel_(Khn'nr)	245	2008-04-19T15:03:13Z	2009	18	3	1	147	86	0.3414	0	0.1636	2009	12859	9222	2007	
Captain_Marvel_(Marvel_Comics)	10	2002-10-01T18:53:14Z	2003	24	10	16	55	3	0.1007	3	0.2326	2003	56458	302382		
Captain_Midlands	246	2008-05-15T23:03:28Z	2009	18	0	0	253	186	0.743	0	0.0947	2009	9543	5756	2007	
Captain_Ultra	44	2004-06-17T21:41:02Z	2005	22	0	1	253	19	0.2647	0	0.573	2005	9950	15627	1976	
Captain_Universe	34	2004-04-21T20:05:18Z	2005	22	7	19	81	15	0.1007	0	0.4083	2006	42879	121974	1979	
Caretaker_(comics)	226	2007-02-17T18:57:16Z	2008	19	2	2	177	131	0.5394	0	0.1629	2008	8808	84105	2008	
Ch'od	227	2007-04-03T02:04:45Z	2008	19	4	3	121	66	0.2425	0	0.1993	2011	6122	22697	1977	
Charcoal_(comics)	151	2006-02-22T20:43:36Z	2007	20	0	0	253	137	0.621	0	0.2167	2007	5156	25001	1998	
Chase_Stein	100	2005-06-25T04:07:33Z	2006	21	5	4	104	42	0.266	0	0.477	2006	31525	26542	2003	
Citizen_V	89	2005-05-06T19:01:29Z	2006	21	3	1	147	42	0.295	0	0.3976	2006	7121	90094	1942	first_rev_redirect
Cloak_and_Dagger_(characters)	70	2005-01-07T00:31:30Z	2006	21	18	28	28	20	0.0868	0	0.424	2007	63566	640433	1982	
Coldblood	198	2006-08-11T21:51:25Z	2007	20	0	2	253	137	0.621	0	0.2167	2007	7658	50948	1989	
Crane_Mother	293	2017-03-21T14:32:09Z	2018	9	1	3	213	200	0.6815	0	0.0428	2018	6187	9237	2007	
Crippler_(character)	240	2007-11-04T02:58:07Z	2008	19	0	4	253	176	0.7261	0	0.1116	2008	4059	2601	1991	
Cyclops_(Marvel_Comics)	9	2002-09-01T16:15:13Z	2003	24	29	26	9	3	0.0265	8	0.7494	2003	50477	861382	1963	
Dargo_Ktor	283	2014-07-16T17:46:38Z	2015	12	0	2	253	219	0.7674	0	0.0703	2015	4875	3899	1987	move_or_merge_comment;first_rev_redirect
Darkdevil	92	2005-05-11T23:05:18Z	2006	21	1	4	213	42	0.295	0	0.407	2006	8236	16617	1998	
Darkhawk	64	2004-11-10T16:55:36Z	2005	22	12	13	50	19	0.1062	0	0.4046	2005	31304	95995	1991	
Deadpool	13	2003-02-17T15:44:43Z	2004	23	37	22	5	2	0.0132	16	0.0897	2004	91161	2908954	1991	first_rev_redirect
Deathlok	30	2004-03-16T08:20:41Z	2005	22	19	6	27	19	0.0861	0	0.2089	2005	38144	148229	1974	
Debrii	129	2005-10-13T20:44:09Z	2006	21	1	5	213	72	0.5108	0	0.2153	2006	8767	14541	2005	
Delroy_Garrett	65	2004-11-12T21:22:04Z	2005	22	6	3	96	19	0.2257	0	0.5004	2005	21643	45081	1998	
Detroit_Steel	272	2011-07-21T23:59:24Z	2012	15	0	1	253	213	0.7674	0	0.0703	2012	18553	23174	2010	
